index,bin start,count
0,2.000,56821
1,4.165,55270
2,6.329,37623
3,8.494,31586
4,10.658,42298
5,12.823,39187
6,14.987,42459
7,17.152,58810
8,19.316,67003
9,21.481,69238
10,23.645,77525
11,25.810,69068
12,27.975,75453
13,30.139,86641
14,32.304,71064
15,34.468,67229
16,36.633,83909
17,38.797,81274
18,40.962,120463
19,43.126,139715
20,45.291,98712
21,47.456,98856
22,49.620,114867
23,51.785,117135
24,53.949,133064
25,56.114,162725
26,58.278,160481
27,60.443,163689
28,62.607,181416
29,64.772,332886
30,66.936,375470
31,69.101,286460
32,71.266,252251
33,73.430,356733
34,75.595,322590
35,77.759,509985
36,79.924,447082
37,82.088,386523
38,84.253,498116
39,86.417,366641
40,88.582,458295
41,90.746,495185
42,92.911,443378
43,95.076,695675
44,97.240,560346
45,99.405,607807
46,101.569,671189
47,103.734,1828763
48,105.898,961035
49,108.063,2209847
50,110.227,1725870
51,112.392,2635864
52,114.557,3235772
53,116.721,4239619
54,118.886,2641597
55,121.050,4494037
56,123.215,14567432
57,125.379,11212593
58,127.544,5912570
59,129.708,9072182
60,131.873,5407297
61,134.037,1952092
62,136.202,2756422
63,138.367,4145584
64,140.531,2241081
65,142.696,3125628
66,144.860,2768815
67,147.025,1343178
68,149.189,1936362
69,151.354,807962
70,153.518,2436667
71,155.683,1095514
72,157.847,90589
73,160.012,110756
74,162.177,2254957
