Pore Diameter (pixels)	Percentage (%)
--------------------------------------
2.0	0.00
2.4033102524824326	0.01
2.8879500848435886	0.00
3.470320023781056	0.02
4.170127846274045	0.02
5.011055503556452	0.02
6.0215605337278735	0.02
7.235839083325894	0.03
8.694983127135108	0.04
10.44837104730279	0.05
12.555338629861705	0.05
15.087187026267696	0.08
18.129595630674558	0.12
21.78552152628044	0.16
26.178683619893274	0.21
31.45774937009173	0.25
37.801365790582125	0.38
45.42420498117238	0.41
54.58422877105761	0.74
65.59141831466466	1.73
78.81826405524885	2.81
94.71237104342362	10.30
113.8116061827902	59.30
136.76229999529636	23.24
